Pacú Cuá	Caaguy Rory	15 min	07:30	12:00
Padre Bolik	Catedral	20 min	17:30	21:30
Padre Bolik	Gral. Bernardino Caballero	20 min	12:00	17:00
Padre Bolik	Padre Bolik	1 h	06:00	16:30
Quiteria	Catedral	45 min	10:00	14:00
San Blas	Caaguy Rory	20 min	14:00	22:00
San Blas	Catedral	30 min	14:00	18:00
San Isidro	Juan León Mallorquín	45 min	08:00	22:00
San Isidro	Padre Bolik	45 min	09:00	10:00
San Jose	Otros distritos de Itapúa	1 h	07:00	12:00
San Jose	San Jose	30 min	07:00	07:30
San Jose	Buena Vista	25 min	12:00	16:30
San Juan del Paraná (distrito)	Caaguy Rory	45 min	12:30	17:30
San Juan del Paraná (distrito)	San Juan del Paraná (distrito)	30 min	06:00	16:30
San Pedro	Caaguy Rory	10 min	14:30	22:00
San Pedro	Catedral	20 min	08:30	22:00
San Pedro	San Blas	10 min	09:00	21:30
San Pedro	Catedral	15 min	08:00	12:30
San Roque González	Caaguy Rory	45 min	06:30	15:00
Santa Maria	Catedral	20 min	06:30	19:00
Santa Maria	Santa Maria	15 min	06:30	12:00
Villa Cándida		10 min	06:30	13:30
Villa Cándida	Buena Vista	10 min	12:30	04:00
Villa Cándida	Inmaculada Concepción	10 min	08:00	19:30
